odsCode,cdbNumber
FCP96,600037083
FCP97,600039443
FCQ01,600034526
FCQ11,600034264
FCQ13,600034265
FCQ18,600041165
FCQ33,600034267
FCQ40,600037515
FCQ45,600034270
FCQ48,600039139
FCQ67,600040459
FCQ75,600034272
FCQ82,600034274
FCQ86,600034275
FCR08,600034280
FCR09,600034281
FCR13,600036002
FCR27,600034283
FCR41,600034286
FCR72,600034290
FCR80,600034293
FCT06,600034295
FCT22,600033532
FCT29,600034298
FCT36,600096031
FCT37,600034300
FCT38,600034301
FCT46,600034302
FCT47,600043730
FCT54,600034305
FCT56,600034307
FCT66,600038961
FCT70,600034310
FCT72,600001041
FCT73,600034311
FCT78,600034313
FCT82,600040213
FCT98,600034315
FCV04,600034317
FCV08,600034318
FCV29,600034320
FCV30,600036580
FCV45,600041026
FCV46,600034325
FCV56,600034328
FCV80,600034331
FCV85,600037765
FCV91,600034337
FCV96,600040116
FCW00,600034339
FCW09,600040440
FCW18,600034342
FCW19,600040411
FCW35,600039521
FCW38,600095931
FCW64,600034348
FCW68,600039782
FCW73,600034016
FCW74,600041324
FCX14,600099801
FCX15,600034356
FCX16,600034357
FCX18,600037773
FCX28,600034360
FCX40,600034362
FCX44,600038136
FCX45,600034363
FCX56,600034366
FCX65,600034368
FCX81,600034370
FCX86,600034373
FCX89,600034374
FCX95,600034376
FCY04,600034378
FCY14,600034379
FCY53,600034381
FCY70,600034384
FCY71,600043149
FCY75,600034385
FCY92,600040492
FD004,600034388
FD010,600034390
FD017,600034393
FD026,600034395
FD032,600034398
FD037,600087481
FD040,600034400
FD048,600034401
FD049,600085851
FD082,600034405
FD095,600034408
FD098,600034409
FD114,600034413
FD122,600034416
FD124,600034417
FD125,600034418
FD131,600034420
FD144,600034421
FD158,600034422
FD163,600034423
FD183,600087371
FD185,600034428
FD189,600042965
FD190,600034429
FD192,600034430
FD199,600034434
FD201,600043235
FD204,600034435
FD207,600000924
FD209,600034436
FD216,600000850
FD217,600034438
FD222,600036611
FD239,600039477
FD243,600034439
FD245,600034440
FD255,600036259
FD263,600034442
FD286,600000582
FD289,600034448
FD297,600034451
FD300,600034452
FD303,600038897
FD327,600034454
FD329,600034455
FD330,600034456
FD336,600034457
FD357,600033967
FD358,600089871
FD365,600034462
FD394,600034466
FD403,600034468
FD408,600034469
FD418,600034471
FD422,600034473
FD423,600087261
FD441,600034477
FD444,600034478
FD451,600043483
FD454,600034481
FD459,600034482
FD477,600034485
FD484,600034487
FD485,600034488
FD490,600000569
FD495,600034490
FD496,600034491
FD501,600034492
FD513,600034495
FD522,600034496
FD527,600034497
FD532,600034498
FD543,600034501
FD551,600034504
FD555,600034506
FD562,600038465
FD563,600034508
FD564,600034951
FD568,600034509
FD597,600034511
FD615,600000211
FD620,600035165
FD635,600034515
FD637,600094861
FD642,600034516
FD643,600038032
FD645,600000761
FD647,600042811
FD650,600034124
FD652,600034518
FD667,600033297
FD674,600034521
FD680,600034523
FD700,600042231
FD732,600034534
FD738,600034535
FD749,600034539
FD758,600000249
FD765,600034705
FD770,600034544
FD772,600036614
FD819,600034554
FD841,600087031
FD849,600034563
FD852,600038452
FD862,600093851
FD864,600034564
FD869,600038080
FD876,600034567
FD894,600034571
FD896,600034572
FD897,600034573
FD898,600034574
FD905,600034575
FD932,600000584
FD976,600034579
FD996,600034580
FDA03,600034583
FDA05,600034585
FDA09,600034586
FDA10,600034587
FDA21,600034590
FDA30,600034592
FDA50,600043236
FDA58,600034596
FDA63,600034598
FDA71,600034599
FDA74,600037152
FDA75,600034601
FDA82,600039256
FDC03,600000731
FDC04,600039941
FDC23,600034608
